casinocode,departingat,arrivingat,departingairport
TRW,5/20/2022,5/24/2022,IAH
TRW,5/20/2022,5/24/2022,OMA
TRW,5/22/2022,5/26/2022,AUS
TRW,5/22/2022,5/26/2022,ACV
TRW,5/22/2022,5/27/2022,JFK
TRW,5/23/2022,5/27/2022,BFL
TRW,5/25/2022,5/30/2022,BUF
TRW,5/25/2022,5/30/2022,ORD
TRW,5/26/2022,5/29/2022,ACV
TRW,5/26/2022,5/31/2022,TPA
TRW,5/27/2022,5/30/2022,BFL
TRW,5/28/2022,6/2/2022,BHM
TRW,6/1/2022,6/6/2022,BWI
TRW,6/1/2022,6/6/2022,MCI
TRW,6/2/2022,6/7/2022,ATL
TRW,6/2/2022,6/7/2022,CLE
TRW,6/2/2022,6/7/2022,IND
TRW,6/2/2022,6/7/2002,EWR
TRW,6/2/2022,6/7/2022,MCO
TRW,6/2/2022,6/7/2022,RDU
TRW,6/3/2022,6/7/2022,AUS
TRW,6/3/2022,6/7/2022,DFW
TRW,6/3/2022,6/6/2022,DEN
TRW,6/3/2022,6/7/2022,IAH
TRW,6/3/2022,6/5/2022,PHX
TRW,6/5/2022,6/10/2022,JFK
TRW,6/6/2022,6/11/1955,CLT
TRW,6/8/2022,6/13/2022,BOS
TRW,6/9/2022,6/14/2022,BHM
TRW,6/9/2022,6/14/2022,ORD
TRW,6/9/2022,6/14/2022,MSY
TRW,6/9/2022,6/14/2022,PHL
TRW,6/9/2022,6/12/2022,SAN
TRW,6/9/2022,6/14/2022,TPA
TRW,6/10/2022,6/13/2022,LAS
TRW,6/10/2022,6/12/2022,LAX
TRW,6/10/2022,6/12/2022,SJC
TRW,6/10/2022,6/12/2022,OAK
TRW,6/10/2022,6/14/2022,SAT
TRW,6/10/2022,6/12/2022,SEA
TRW,6/12/2022,6/17/2022,ATL
TRW,6/13/2022,6/18/2022,ORD
TRW,6/14/2022,6/19/2022,EWR
TRW,6/15/2022,6/20/2022,BUF
TRW,6/15/2022,6/20/2022,DTW
TRW,6/15/2022,6/20/2022,STL
TRW,6/16/2022,6/21/2022,MCI
TRW,6/16/2022,6/21/2022,BNA
TRW,6/16/2022,6/20/2022,OKC
TRW,6/16/2022,6/21/2022,PIT
TRW,6/17/2022,6/21/2022,IAH
TRW,6/17/2022,6/19/2022,LAS
TRW,6/17/2022,6/20/2022,LAX
TRW,6/17/2022,6/22/2022,SDF
TRW,6/17/2022,6/20/2022,SJC
TRW,6/17/2022,6/19/2022,OAK
TRW,6/17/2022,6/19/2022,PHX
TRW,6/17/2022,6/19/2022,SAN
TRW,6/18/2022,6/23/2022,JFK
TRW,6/21/2022,6/23/2022,SEA
TRW,6/22/2022,6/27/2022,BWI
TRW,6/22/2022,6/27/2022,CLT
TRW,6/23/2022,6/28/2022,ATL
TRW,6/23/2022,6/28/2022,ORD
TRW,6/23/2022,6/28/2022,EWR
TRW,6/24/2022,6/28/2022,DFW
TRW,6/24/2022,6/27/2022,DEN
TRW,6/24/2022,6/28/2022,ELP
TRW,6/24/2022,6/26/2022,LAS
TRW,6/24/2022,6/26/2022,LAX
TRW,6/24/2022,6/26/2022,SJC
TRW,6/24/2022,6/26/2022,OAK
TRW,6/24/2022,6/28/2022,OMA
TRW,6/24/2022,6/26/2022,SAN
TRW,6/25/2022,6/29/2022,IAH
TRW,5/5/2022,5/9/2022,SHV
TRW,5/6/2022,5/10/2022,STL
TRW,5/9/2022,5/13/2022,IAH
TRW,5/12/2022,5/16/2022,TYS
TRW,5/15/2022,5/19/2022,DTW
TRW,5/18/2022,5/22/2022,DSM
TRW,5/18/2022,5/22/2022,FSD
TRW,6/4/2022,6/8/2022,CMH
TRW,6/7/2022,6/11/2022,GRB
TRW,06/088/22,6/12/2022,IND
TRW,6/11/2022,6/15/2022,GRR
TRW,6/11/2022,6/15/2022,GRI
TRW,6/12/2022,6/16/2022,MKE
TRW,6/15/2022,6/19/2022,MSP
TRW,6/18/2022,6/22/2022,DFW
TRW,6/20/2022,6/24/2022,MCI
TRW,6/23/2022,6/27/2022,MBS
TRW,6/23/2022,6/27/2022,DEN
TRW,7/14/2022,7/18/2022,MDW
TRW,7/18/2022,7/22/2022,MKE
TRW,7/20/2022,7/24/2022,DFW
TRW,7/23/2022,7/27/2022,DTW
UTU,5/9/2022,5/12/2022,CAE
UTU,6/8/2022,6/11/2022,CHA
UTU,7/6/2022,7/9/2022,SAT
