gamingresort,casinocode,departingat,arrivingat,departingairport
SILVER LEGACY RENO NV,TRW,11/7/2022,11/11/2022,ROA
SILVER LEGACY RENO NV,TRW,11/09/22,11/14/22,BOS
SILVER LEGACY RENO NV,TRW,11/09/22,11/14/22,PIT
SILVER LEGACY RENO NV,TRW,11/09/22,11/14/22,RDU
SILVER LEGACY RENO NV,TRW,11/10/22,11/13/22,IDA
SILVER LEGACY RENO NV,TRW,11/10/22,11/13/22,MSP
SILVER LEGACY RENO NV,TRW,11/10/22,11/13/22,SJC
SILVER LEGACY RENO NV,TRW,11/10/22,11/13/22,STS
SILVER LEGACY RENO NV,TRW,11/10/22,11/15/22,ATL
SILVER LEGACY RENO NV,TRW,11/10/22,11/15/22,BHM
SILVER LEGACY RENO NV,TRW,11/10/22,11/15/22,ORD
SILVER LEGACY RENO NV,TRW,11/10/22,11/15/22,CLE
SILVER LEGACY RENO NV,TRW,11/10/22,11/14/22,IAH
SILVER LEGACY RENO NV,TRW,11/10/22,11/15/22,IND
SILVER LEGACY RENO NV,TRW,11/10/22,11/15/22,BNA
SILVER LEGACY RENO NV,TRW,11/10/22,11/15/22,TPA
SILVER LEGACY RENO NV,TRW,11/11/22,11/14/22,BOI
SILVER LEGACY RENO NV,TRW,11/11/22,11/14/22,EUG
SILVER LEGACY RENO NV,TRW,11/11/22,11/14/22,LAS
SILVER LEGACY RENO NV,TRW,11/11/22,11/13/22,LGB
SILVER LEGACY RENO NV,TRW,11/11/22,11/13/22,LAX
SILVER LEGACY RENO NV,TRW,11/11/22,11/13/22,OAK
SILVER LEGACY RENO NV,TRW,11/11/22,11/14/22,ONT
SILVER LEGACY RENO NV,TRW,11/11/22,11/14/22,PSP
SILVER LEGACY RENO NV,TRW,11/11/22,11/14/22,PSC
SILVER LEGACY RENO NV,TRW,11/11/22,11/13/22,SAN
SILVER LEGACY RENO NV,TRW,11/11/22,11/14/22,GEG
SILVER LEGACY RENO NV,TRW,11/11/22,11/15/22,AUS
SILVER LEGACY RENO NV,TRW,11/11/22,11/14/22,DEN
SILVER LEGACY RENO NV,TRW,11/11/22,11/16/22,EWR
SILVER LEGACY RENO NV,TRW,11/11/22,11/15/22,OKC
SILVER LEGACY RENO NV,TRW,11/11/22,11/15/22,OMA
SILVER LEGACY RENO NV,TRW,11/11/2022,11/15/2022,MEM
SILVER LEGACY RENO NV,TRW,11/12/22,11/17/22,PHL
SILVER LEGACY RENO NV,TRW,11/13/22,11/17/22,IDA
SILVER LEGACY RENO NV,TRW,11/13/22,11/17/22,STS
SILVER LEGACY RENO NV,TRW,11/13/2022,11/17/2022,MSY
SILVER LEGACY RENO NV,TRW,11/13/2022,11/17/2022,COS
SILVER LEGACY RENO NV,TRW,11/14/22,11/18/22,BOI
SILVER LEGACY RENO NV,TRW,11/14/22,11/18/22,EUG
SILVER LEGACY RENO NV,TRW,11/14/22,11/18/22,ONT
SILVER LEGACY RENO NV,TRW,11/14/22,11/18/22,PSP
SILVER LEGACY RENO NV,TRW,11/14/22,11/18/22,PSC
SILVER LEGACY RENO NV,TRW,11/14/22,11/18/22,GEG
SILVER LEGACY RENO NV,TRW,11/14/22,11/19/22,BWI
SILVER LEGACY RENO NV,TRW,11/14/22,11/18/22,DFW
SILVER LEGACY RENO NV,TRW,11/14/22,11/19/22,STL
SILVER LEGACY RENO NV,TRW,11/15/22,11/17/22,SEA
SILVER LEGACY RENO NV,TRW,11/15/22,11/20/22,MSY
SILVER LEGACY RENO NV,TRW,11/15/22,11/19/22,SAT
SILVER LEGACY RENO NV,TRW,11/15/2022,11/19/2022,SHV
SILVER LEGACY RENO NV,TRW,11/16/22,11/21/22,BOS
SILVER LEGACY RENO NV,TRW,11/16/22,11/21/22,CLT
SILVER LEGACY RENO NV,TRW,11/16/22,11/21/22,DTW
SILVER LEGACY RENO NV,TRW,11/16/22,11/21/22,MCI
